edition,id,author,username,url,title,has_video,video_count,created_at,body
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTAwMV0=,,,https://contra.com/community/vF36W3Oe-showcase-your-hackathon-creations-on-contra,"We’re almost at the finish line! 
As the Contra Hackathon wraps up, we’d love to",True,1,2025-09-10T23:39:44,"We’re almost at the finish line! 
As the Contra Hackathon wraps up, we’d love to see any Makes you’ve published on Community. 
Drop your link in the thread below ⬇️ so everyone can check it out, remix it, and get inspired. 

✨ Pro tip: if you’ve hit Publish, make sure the “Feature on Community” togg"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2NTE5Ml0=,,,https://contra.com/community/R2mmFoeY,"The Figma Make-a-thon launches today! 

What will you Make?",True,1,2025-09-03T15:40:20,"The Figma Make-a-thon launches today! 

What will you Make?"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2NTE5NV0=,,,https://contra.com/community/gOXmPkgl-meet-gui-seiz-figma-makes-expert,"Introducing our final judge: , Director of Design on Figma Make 🎉

Gui brings a ",False,0,2025-09-03T15:50:14,"Introducing our final judge: , Director of Design on Figma Make 🎉

Gui brings a unique perspective to judging final submissions and answering community questions.

Can't wait to see what you Make!"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2MzE1N10=,,,https://contra.com/community/X6bgXEOm-amazing-with-figma-make-the,"Welcome to the first ever global Figma Make-a-thon, hosted by Contra!!! 🌟

The c",True,1,2025-08-28T21:45:25,"Welcome to the first ever global Figma Make-a-thon, hosted by Contra!!! 🌟

The challenge: Build something amazing with Figma Make! 🗯️
The reward: $100k in prizes, including a $50,000 grand prize 🏆

Register now to receive a Figma Professional plan for the duration of the hackathon, and submit your e"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2NTM5Ml0=,,,https://contra.com/community/EFrQgqXE-discover-the-fun-of-contras-embedded,also its super fun that Contra embeds the Makes! :O ,False,0,2025-09-03T20:02:45,also its super fun that Contra embeds the Makes! :O 
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NzMwNl0=,,,https://contra.com/community/W2AAOW3g-this-will-be-one-of-the,"When I’m old and grey, and I look back on my journey as an entrepreneur, this wi",True,1,2025-10-01T17:33:17,"When I’m old and grey, and I look back on my journey as an entrepreneur, this will be one of the highlights.. 

A true core memory of building Contra. 

Seeing   make time for her own personal projects, win $50k, and put a down payment on her first home turned out to be far more rewarding than I eve"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw0OTQ1Nzhd,,,https://contra.com/community/h33A2MHk-last-year-i-won-a-life-changing,"Last year, I won a life-changing amount of money. 

When I first saw this screen",False,0,2026-02-25T17:35:12,"Last year, I won a life-changing amount of money. 

When I first saw this screen pop up I literally thought that someone had stolen my project AND was impersonating me. I had entered feeling so excited about my idea, but not at all thinking I would win (never mind the $50,000!!). 

 is still one of "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0IiwxNjgwNTld,,,https://contra.com/community/36RN3oWM-dont-give-up-keep-moving-a,"DON’T GIVE UP. KEEP MOVING.
A reminder to stay patient, disciplined, and steady ",False,0,2025-11-03T19:20:30,"DON’T GIVE UP. KEEP MOVING.
A reminder to stay patient, disciplined, and steady — even when progress is quiet.Design inspired by Swiss modernism. Grid, balance, purpose."
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0IiwxNDA5NjNd,,,https://contra.com/community/vNMPFQWr-landing-page-for-japanese-medical-school,🔥Landing page for Japanese Medical SchoolA clean and modern landing page design ,False,0,2025-10-24T03:28:02,"🔥Landing page for Japanese Medical SchoolA clean and modern landing page design focused on trust and clarity.
Featuring elegant Japanese typography, warm colors, and a student-centered layout, it highlights key features, courses, and testimonials with smooth visual flow.  "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw4OTAyNV0=,,,https://contra.com/community/ZLMM7oYe-cognix-header-design-thoughts-on-this,"Cognix Header Design

Thoughts on this?",False,0,2025-10-10T10:33:03,"Cognix Header Design

Thoughts on this?"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw4MzAzNV0=,,,https://contra.com/community/YqW7lXOA-blending-tradition-with-technology-new,🚀 Blending tradition with technology. New devotional app concept brings divine v,False,0,2025-10-09T17:38:55,🚀 Blending tradition with technology. New devotional app concept brings divine vibes to your fingertips. ✨
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3ODQyNl0=,,,https://contra.com/community/kNlMQlrl-transforming-sketches-to-digital-the-journey,"HOW I MADE WEB POETRY🌟Web Poetry started on paper, like most of my projects, in ",True,1,2025-10-06T12:55:29,"HOW I MADE WEB POETRY🌟Web Poetry started on paper, like most of my projects, in very messy sketches. I then designed each page in Figma, outside of Figma Make, to ensure I had full control over the final look. 

Once the design was ready, I pasted everything into Make with a detailed prompt. Then ca"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NTM4OF0=,,,https://contra.com/community/XAU6kvrO-been-collecting-handwriting-that-i-find,"Another look at WEB POETRY, the Figma Makeathon submission that just won me $50,",True,1,2025-09-21T17:28:29,"Another look at WEB POETRY, the Figma Makeathon submission that just won me $50,000 🌟

I've been collecting handwriting that I find out and about for over a year now (mainly dropped shopping lists and long-lost homework), so web poetry felt like the natural idea to explore. 

I think it might be one"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NTM5MF0=,,,https://contra.com/community/XgvrFWAl-showcase-your-creative-poetry-on-our,This is what you get when you tell a seven year old to write 'anything' 🤣. If yo,False,0,2025-09-21T17:32:13,"This is what you get when you tell a seven year old to write 'anything' 🤣. If you've tried , I'd love to see your poems! "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDMyN10=,,,https://contra.com/community/NRXqq3EA-unlock-your-potential-exciting-freelancing-opportunities,"BIGGEST moment ever, so so excited and grateful 💖",False,0,2025-09-16T16:25:42,"BIGGEST moment ever, so so excited and grateful 💖"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDg5N10=,,,https://contra.com/community/F37eoMEA-discover-the-transformation-framework-for-business,"It works for almost anything on the business spectrum.
 
I call it: The Transfor",False,0,2025-09-18T15:37:55,"It works for almost anything on the business spectrum.
 
I call it: The Transformation Framework 👇 

Find their real pain (not what they say) 
Show the dream outcome 
Bridge the gap with your expertise    

Stop selling what you do.  
Start selling where they'll be.    

Your services are just the v"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDMzMV0=,,,https://contra.com/community/ROoZ6Rm3-celebrating-creativity-cara-ellis-wins-figma-makeathon,Big shoutout to  for winning the #figmamakeathon with such an amazing piece of a,False,0,2025-09-16T16:28:10,"Big shoutout to  for winning the #figmamakeathon with such an amazing piece of art.

Fun fact? 
Creativity really does pay off.Congrats again,  👏"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDUwOF0=,,,https://contra.com/community/bXrrlZMq-celebrating-success-thanks-to-contra-and,"I'm so excited!!! 
Thank you Contra and Figma team 💛",False,0,2025-09-17T07:09:27,"I'm so excited!!! 
Thank you Contra and Figma team 💛"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3Mzk0MV0=,,,https://contra.com/community/PmsvFeUY-exclusive-insights-allison-on-contras-zero,"She dropped some truth bombs:

Feed-first profiles feature that actually show yo",False,0,2025-09-15T16:49:19,"She dropped some truth bombs:

Feed-first profiles feature that actually show your work.
Her favorite part of Figma Makeathon with $100K in prizes.
Why Contra is 100% commission-free (while other platforms takes 20%).

👇 "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDI5Nl0=,,,https://contra.com/community/bgMXX6cr,,False,0,2025-09-16T15:04:36,
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3NDMyNV0=,,,https://contra.com/community/occRUoLR-figma-make-a-thon-results-see-the-winning,though i'm not a designer & i didn't submit i am still REAL excited to see & hea,False,0,2025-09-16T16:24:43,though i'm not a designer & i didn't submit i am still REAL excited to see & hear who wins in this Figma Make-a-thon! 👀congratulations to all who submitted 👏🏾
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk1MF0=,,,https://contra.com/community/gYO3qQOb-experience-figmacraft-craft-your-own-figma,"As a kid, I loved sketching game ideas that only lived on paper. This week, I fi",True,1,2025-09-11T06:58:30,"As a kid, I loved sketching game ideas that only lived on paper. This week, I finally brought one of those ideas to life! it's a small adventure inspired by Figma’s new identity. I built it in just 7 days, using only Figma 🤯There’s a quest 😉… and if you solve it, you unlock a secret mode where you c"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTY0Nl0=,,,https://contra.com/community/XME2RorM-revolutionize-your-wardrobe-with-closety-the,"We’ve all been there, standing in front of a closet packed full of clothes but t",False,0,2025-09-11T05:56:37,"We’ve all been there, standing in front of a closet packed full of clothes but thinking, “I have nothing to wear”. Trying on outfit after outfit, yet still unsatisfied.This is the problem that Itai Lavi and I wanted to solve.After 550+ variations and pushing Figma Make to its  limits, we built : The"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTUyOV0=,,,https://contra.com/community/o662bZ2c-if-you-had-your-inner-circle,"You know that one task you keep side-eyeing, procrastinating on, and never actua",False,0,2025-09-11T05:21:36,"You know that one task you keep side-eyeing, procrastinating on, and never actually doing? What if you had  right there with you.This app connects freelancers through quick coworking sessions. You get matched with people who share your energy and focus so it feels like you are working alongside your"
