edition,entry_id,contra_url,posted_at,day_relative_to_open,days_before_deadline,project_title,creator_name,live_url,figma_community_url,video_url,video_upload_date,likes,comments,engagement_score,winner,winner_category,creator_followers,creator_prior_participation,social_platforms_count,cross_posted_x,cross_posted_linkedin,cross_posted_instagram,cross_posted_threads,cross_posted_bluesky,in_contra_recap,in_figma_blog
Figma Make-a-thon (Sep 2025),entry_0001,https://contra.com/community/post/entry-0001,2025-09-03T00:00:00,1,6,Web Poetry,Aleyna Çatak,https://figma.site/sample-1,https://figma.com/community/file/1,https://youtube.com/watch?v=sample1,,785,141,1067,True,Most Innovative,928,False,4,False,True,True,True,True,False,True
Figma Make-a-thon (Sep 2025),entry_0006,https://contra.com/community/post/entry-0006,2025-09-03T00:00:00,1,6,TOKYO,Yuki Tanaka,https://figma.site/sample-6,,https://youtube.com/watch?v=sample6,,787,129,1045,True,Most Creative,2509,False,2,True,True,False,False,False,True,False
Figma Make-a-thon (Sep 2025),entry_0029,https://contra.com/community/post/entry-0029,2025-09-03T00:00:00,1,6,TOKYO,Sam Okafor,https://figma.site/sample-29,https://figma.com/community/file/29,https://youtube.com/watch?v=sample29,,388,138,664,True,Most Creative,839,False,4,True,True,True,False,True,True,True
Figma Make-a-thon (Sep 2025),entry_0047,https://contra.com/community/post/entry-0047,2025-09-03T00:00:00,1,6,Pucker,Paige Latimer,https://figma.site/sample-47,https://figma.com/community/file/47,https://youtube.com/watch?v=sample47,,608,94,796,True,Best Prompt,3237,False,3,True,True,False,False,True,True,False
Figma Make-a-thon (Sep 2025),entry_0061,https://contra.com/community/post/entry-0061,2025-09-03T00:00:00,1,6,Pucker,Dann Petty,https://figma.site/sample-61,https://figma.com/community/file/61,https://youtube.com/watch?v=sample61,,684,101,886,True,Most Innovative,2361,False,4,True,True,True,True,False,True,True
Figma Make-a-thon (Sep 2025),entry_0076,https://contra.com/community/post/entry-0076,2025-09-05T00:00:00,3,4,Type Forge,Lee Black,,,https://youtube.com/watch?v=sample76,,447,71,589,True,2nd ($15K),3381,False,4,True,True,True,False,True,True,True
Figma Make-a-thon (Sep 2025),entry_0097,https://contra.com/community/post/entry-0097,2025-09-03T00:00:00,1,6,Grid Garden,Alex Rivera,https://figma.site/sample-97,https://figma.com/community/file/97,https://youtube.com/watch?v=sample97,,667,81,829,True,Best Prompt,3194,False,2,False,True,False,False,True,True,True
Figma Make-a-thon (Sep 2025),entry_0106,https://contra.com/community/post/entry-0106,2025-09-03T00:00:00,1,6,Motion Study,Johannes Specht,https://figma.site/sample-106,,https://youtube.com/watch?v=sample106,,798,157,1112,True,3rd ($7.5K),4375,False,1,False,False,False,False,True,True,True
Figma Makeathon March 2026,entry_0119,https://contra.com/community/post/entry-0119,2026-02-10T00:00:00,10,33,Plan That Trip. Now,Daniella Marynova,https://figma.site/sample-119,https://figma.com/community/file/119,https://youtube.com/watch?v=sample119,,634,91,816,True,Boundary Pushing,4028,False,3,True,True,False,False,True,True,False
Figma Makeathon March 2026,entry_0134,https://contra.com/community/post/entry-0134,2026-02-07T00:00:00,7,36,Package Customizer,Johannes Specht,https://figma.site/sample-134,,https://youtube.com/watch?v=sample134,,407,41,489,True,New Interaction,2717,False,3,True,False,False,True,True,True,True
Figma Makeathon March 2026,entry_0158,https://contra.com/community/post/entry-0158,2026-02-04T00:00:00,4,39,Pixel Flow,Yuki Tanaka,https://figma.site/sample-158,,https://youtube.com/watch?v=sample158,,827,130,1087,True,Reimagining Iconic Interactions,965,False,3,True,True,False,True,False,True,False
Figma Makeathon March 2026,entry_0159,https://contra.com/community/post/entry-0159,2026-02-03T00:00:00,3,40,Pixel Flow,Kiel Cole,https://figma.site/sample-159,https://figma.com/community/file/159,https://youtube.com/watch?v=sample159,,971,157,1285,True,New Interaction,2839,False,3,True,True,False,True,False,True,True
Figma Makeathon March 2026,entry_0162,https://contra.com/community/post/entry-0162,2026-02-07T00:00:00,7,36,Common Thread,Johannes Specht,https://figma.site/sample-162,https://figma.com/community/file/162,https://youtube.com/watch?v=sample162,,749,72,893,True,Boundary Pushing,1630,False,2,False,True,False,False,True,False,True
Figma Makeathon March 2026,entry_0178,https://contra.com/community/post/entry-0178,2026-02-07T00:00:00,7,36,TOKYO,Lee Black,https://figma.site/sample-178,https://figma.com/community/file/178,https://youtube.com/watch?v=sample178,,648,161,970,True,Excellence in Craft,2723,False,2,True,False,True,False,False,True,False
Figma Makeathon March 2026,entry_0200,https://contra.com/community/post/entry-0200,2026-02-18T00:00:00,18,25,Motion Study,Daniella Marynova,https://figma.site/sample-200,https://figma.com/community/file/200,https://youtube.com/watch?v=sample200,,335,55,445,True,Fan Favorite on Social,435,False,3,True,False,False,True,True,True,False
Config Makeathon 2026,entry_0208,https://contra.com/community/post/entry-0208,2026-06-05T00:00:00,2,12,Pucker,Sam Okafor,https://figma.site/sample-208,https://figma.com/community/file/208,https://youtube.com/watch?v=sample208,,722,150,1022,True,Most Innovative,2865,False,1,False,True,False,False,False,True,True
Config Makeathon 2026,entry_0226,https://contra.com/community/post/entry-0226,2026-06-07T00:00:00,4,10,Plan That Trip. Now,Kiel Cole,,https://figma.com/community/file/226,https://youtube.com/watch?v=sample226,,417,78,573,True,Most Innovative,3661,False,2,True,True,False,False,False,True,True
Config Makeathon 2026,entry_0256,https://contra.com/community/post/entry-0256,2026-06-09T00:00:00,6,8,Airwwave,Johannes Specht,https://figma.site/sample-256,https://figma.com/community/file/256,https://youtube.com/watch?v=sample256,,310,0,310,True,Best Overall,0,False,3,True,True,True,False,False,False,True
Config Makeathon 2026,entry_0257,https://contra.com/community/post/entry-0257,2026-06-08T00:00:00,5,9,Web Poetry,Lee Black,https://figma.site/sample-257,https://figma.com/community/file/257,https://youtube.com/watch?v=sample257,,410,89,588,True,Best Overall,3101,False,2,True,True,False,False,False,False,True
Config Makeathon 2026,entry_0273,https://contra.com/community/post/entry-0273,2026-06-06T00:00:00,3,11,Plan That Trip. Now,Johannes Specht,https://figma.site/sample-273,,https://youtube.com/watch?v=sample273,,649,62,773,True,Excellence in Craft,4239,False,4,True,True,True,True,False,True,True
Config Makeathon 2026,entry_0293,https://contra.com/community/post/entry-0293,2026-06-08T00:00:00,5,9,Pucker,Aleyna Çatak,https://figma.site/sample-293,https://figma.com/community/file/293,,,395,31,457,True,Best Overall,3519,False,4,True,True,True,True,False,True,True
Config Makeathon 2026,entry_0298,https://contra.com/community/post/entry-0298,2026-06-06T00:00:00,3,11,Package Customizer,Paige Latimer,https://figma.site/sample-298,,https://youtube.com/watch?v=sample298,,621,91,803,True,Best Overall,3019,False,5,True,True,True,True,True,True,True
